"","Type","section","unnorm","norm","category"
"1","001 CLA-EPd-CTX Car3 Glut",23,0.703196347031963,1.04058427023778,1
"2","001 CLA-EPd-CTX Car3 Glut",21,0.552742616033755,1.5134587433333,1
"3","001 CLA-EPd-CTX Car3 Glut",20,0.579831932773109,1.72852406564369,1
"4","002 IT EP-CLA Glut",20,0.8,1.15292343546508,1
"5","003 L5/6 IT TPE-ENT Glut",23,0.568627450980392,0.730971171823833,1
"6","005 L5 IT CTX Glut",20,0.704761904761905,1.32203722580889,1
"7","006 L4/5 IT CTX Glut",24,0.514792899408284,2.58564850538163,1
"8","006 L4/5 IT CTX Glut",23,0.466751918158568,2.41450691126725,1
"9","006 L4/5 IT CTX Glut",22,0.499176276771005,1.97676011096988,1
"10","006 L4/5 IT CTX Glut",21,0.579531442663379,1.31426599710108,1
"11","006 L4/5 IT CTX Glut",20,0.645104895104895,1.1344188634692,1
"12","007 L2/3 IT CTX Glut",24,0.765454545454545,1.63740049243025,1
"13","007 L2/3 IT CTX Glut",23,0.765625,1.45556955384933,1
"14","007 L2/3 IT CTX Glut",22,0.777262180974478,1.16954460238904,1
"15","007 L2/3 IT CTX Glut",21,0.789101917255298,1.10709409040454,1
"16","007 L2/3 IT CTX Glut",20,0.808870116156283,1.08987908898935,1
"17","022 L5 ET CTX Glut",23,0.660958904109589,1.22777006638707,1
"18","030 L6 CT CTX Glut",21,0.489208633093525,2.10480592353129,1
"19","030 L6 CT CTX Glut",20,0.513103448275862,2.73101136973206,1
"20","046 Vip Gaba",24,0.121212121212121,1.20376175548589,0
"21","046 Vip Gaba",20,0.20253164556962,1.9647515939063,0
"22","049 Lamp5 Gaba",22,0.51219512195122,1.21274348434571,0
"23","052 Pvalb Gaba",24,0.425531914893617,1.21526016237617,0
"24","052 Pvalb Gaba",23,0.424731182795699,1.72139485421993,0
"25","052 Pvalb Gaba",21,0.380530973451327,1.71339093756749,0
"26","052 Pvalb Gaba",20,0.363636363636364,1.78696171380691,0
"27","053 Sst Gaba",21,0.0991735537190083,1.55306762203314,0
